id_producto,nombre,descripcion,cantidad,unidad_producto
34,CALCULADORA BASICA 12 DIGITOS MOD. MS-20UC-BK COLOR NEGRO MC. CASIO,DESCONOCIDO,1,piezas
35,CARPETA ACCOPRESS T/C BROCHE OCULTO MC. ACCO COL. AZUL FTE,DESCONOCIDO,5,piezas
36,CARPETA ACCOPRESS T/O BROCHE OCULTO MC. ACCO COL. AZUL FTE,DESCONOCIDO,48,piezas
37,CARPETA DE ARGOLLAS PANORAMICA T/C 2 P7149 MC. ACCO COL. BLANCO,DESCONOCIDO,3,piezas
38,CARPETA TAMAÑO OFICIO CON BROCHE TAMAÑO OFICIO C/NEGRO,DESCONOCIDO,1,piezas
39,CARTULINA OPALINA BLANCA T/CARTA AVANT 100H 220G,DESCONOCIDO,4,piezas
40,CARTULINA OPALINA CONT. 100 HOJAS MC IMPERIAL,DESCONOCIDO,4,piezas
41,CHINCHES ROSAS MC ,DESCONOCIDO,0,piezas
42,CINTA ADHESIVA MASKING-TAPE MOD. 110 24MM X 50 MTS. MC. NEXTEP,DESCONOCIDO,12,piezas
43,CINTA ADHESIVA MASKING-TAPE MOD. 110 24MM X 50 MTS. MC. TUK,DESCONOCIDO,13,piezas
44,CINTA ADHESIVA MASKING-TAPE MOD. 110 36MM X 50MTS. MC JANEL,DESCONOCIDO,25,piezas
45,CINTA ADHESIVA MASKING-TAPE MOD. 110 36MM X 50MTS. MC TUK,DESCONOCIDO,15,piezas
46,CINTA ADHESIVA MASKING-TAPE MOD. 110 48MM X 50 MTS. MC. KYMA,DESCONOCIDO,17,piezas
47,CINTA ADHESIVA MASKING-TAPE MOD. 110 48MM X 50 MTS. MC. NAVITEK,DESCONOCIDO,3,piezas
48,CINTA ADHESIVA MASKING-TAPE MOD. 110 48MM X 50 MTS. MC. SINERMARK,DESCONOCIDO,5,piezas
49,CINTA ADHESIVA MASKING-TAPE MOD. 110 48MM X 50 MTS. MC. TUCK,DESCONOCIDO,-6,piezas
50,CINTA MAGICA SCOTCH,DESCONOCIDO,1,piezas
51,CINTA ADHESIVA PLATEADA 48MM X 50 MTS. MOD. 90-T MC. TUK,DESCONOCIDO,21,piezas
52,CINTA ADHESIVA TRANSPARENTE DE 24MM X 65M MC NEXTEP,DESCONOCIDO,21,piezas
53,CINTA ADHESIVA TRANSPARENTE MOD. 179 48MM X 50MTS MC. JANEL,DESCONOCIDO,30,piezas
54,CINTA ADHESIVA TRANSPARENTE MOD. 179 48MM X 50MTS MC. TUK,DESCONOCIDO,-14,piezas
55,CINTA ADHESIVA TRANSPARENTE MOD. 200 24 MM X 65 MTS. MC. OFFILAND,DESCONOCIDO,9,piezas
56,CINTA ADHESIVA TRANSPARENTE MOD. 200 24 MM X 65 MTS. MC. TUK,DESCONOCIDO,13,piezas
57,CINTA ADHESIVA TRANSPARENTE 18 MM X 33 MTS. MC NAVITEK,DESCONOCIDO,-3,piezas
58,CINTA AISLANTE DE VINILO NEGRO 320 19MM X 18M MC TUK ,DESCONOCIDO,-80,piezas
59,CINTA AISLANTE DE VINILO NEGRO 320 19MM X 18M MC ARGOS,DESCONOCIDO,44,piezas
60,CINTA BARRICADA PELIGRO 75MM X 100M MC TUCK,DESCONOCIDO,10,piezas
61,CINTA BARRICADA PRECAUCION COLOR AMARILLO MOD. 520 MC TUK,DESCONOCIDO,6,piezas
62,CINTA CANELA 48MM X 50M MC NAVITEK,DESCONOCIDO,15,piezas
63,CINTA CANELA 48MM X 50M MC TUK,DESCONOCIDO,18,piezas
64,CINTA CANELA 48MM X 50M MC DEBEK,DESCONOCIDO,12,piezas
65,CINTA DOBLE CARA 12.7 MM X 32.9 MM MC SCOTCH,DESCONOCIDO,4,piezas
66,CLIP JUMBO CONT. 100 PZAS MC ACCO,DESCONOCIDO,2,piezas
67,CLIP MARIPOSA #1 CONT. 12 PZAS MC ACCO,DESCONOCIDO,3,piezas
68,CLIP MARIPOSA #2 CONT. 50 PZAS MC ACCO,DESCONOCIDO,5,piezas
69,CLIPS ESTADAR BASICO N° 1 CONT. 100 MC BACO,DESCONOCIDO,9,piezas
70,CLIPS ESTANDAR BASICO N°2 CAJA CONT. 100 MC ACCO,DESCONOCIDO,0,piezas
71,CORRECTOR DE CINTA 5MM X 8 MTS. MOD. PA-C0CIN806 MC. PASCUA COLORES SURTIDOS 2023,DESCONOCIDO,4,piezas
72,CORRECTOR EN LAPIZ C-30 SABONIS,DESCONOCIDO,-2,piezas
73,CORRECTOR T/BOLIGRAFO ZEBRA,DESCONOCIDO,0,piezas
74,CUADERNO F/FRANCESA COCIDO 100 HJS. MC. RAYTER RAYAS,DESCONOCIDO,3,piezas
75,CUADERNO PROF. SERIE 3 100 HJS. ESPIRAL DOBLE MOD.9650 MC. SCRIBE RAYAS,DESCONOCIDO,7,piezas
76,CUBO DE NOTAS ADHESIVAS 3 X 3 400 HJ NEON EAGLE,DESCONOCIDO,2,piezas
77,CUBO DE NOTAS POST-IT 54 AMARILLO 3'' X 3'' C/400 H. MEMO TIP MC. JANEL,DESCONOCIDO,2,piezas
78,CUCHILLA ANCHA DE PLASTICO DE COLOR MC. MAPED,DESCONOCIDO,0,piezas
79,DEDAL DE HULE NATURAL N° 11 MC. AGUILA,DESCONOCIDO,23,piezas
80,DESENGRAPADORA MOD. 370111 MC. MAPED,DESCONOCIDO,5,piezas
81,ENTINTADOR DE COJINES PARA SELLOS C/ROJA CONT.60ML MC AZOR,DESCONOCIDO,2,piezas
82,ETIQUETA ADHESIVA EAB04767 47 X 67 MM MC TRANSFER,DESCONOCIDO,1,piezas
83,ETIQUETA ADHESIVA EAB20105 20 X 105 MM MC TRANSFER,DESCONOCIDO,1,piezas
84,ETIQUETA ADHESIVA EAB20105 47 X 102 MM MC TRANSFER,DESCONOCIDO,1,piezas
85,ETIQUETAS ADHESIVAS  2538 MC JANEL ,DESCONOCIDO,6,piezas
86,ETIQUETAS PARA LASER+INKJET+COPIADORAS J-5165 TAMAÑO CARTA MC JANEL CONT. 25 PIEZAS,DESCONOCIDO,5,piezas
87,ETIQUETAS PARA LASER+INKJET+COPIADORAS J-5931 TAMAÑO CARTA CONT. 25 PZS MC JANEL ,DESCONOCIDO,3,piezas
88,FOAMI TAMAÑO CARTA MULTICOLOR SIN MARCA ,DESCONOCIDO,27,piezas
89,FOLDER ARCOIRIS T/CARTA CON SOLAPA (2007) COLOR BLANCO,DESCONOCIDO,65,piezas
90,FOLDER TAMAÑO OFICIO C/PAJA MC MAPASA ,DESCONOCIDO,373,piezas
91,FOLDER TAMAÑO OFICIO C/PAJA MC SMART FILE,DESCONOCIDO,100,piezas
92,FOLDERS  TAMAÑO CARTA C/PAJA MC EUROCOLORS,DESCONOCIDO,2,piezas
93,GRAPAS ESTÁNDAR CONT. 5000  PZAS MC PASCUA,DESCONOCIDO,4,piezas
94,GRAPAS ESTÁNDAR CONT. 5000 PZAS MC BOSTITCH,DESCONOCIDO,2,piezas
95,GRAPAS HEAVY DUTY 5/16 N°36805 MC SURINQLINE,DESCONOCIDO,3,piezas
96,LAPIZ ADHESIVO BLANCO DE 20 GRS. PELIKAN,DESCONOCIDO,1,piezas
97,LAPIZ ADHESIVO BLANCO DE 21 GRS. MC. DIXON,DESCONOCIDO,0,piezas
98,LAPIZ DE GRAFITO TRIANGULAR BLACK PEPS MC. MAPED,DESCONOCIDO,83,piezas
99,LASER FOLIO PRESENTACION KIT 10 PZAS  MC AVERY,DESCONOCIDO,6,piezas
100,LIBRETA F/FRANCESA PASTA GRUESA 96 HJS. (1750) MC. SCRIBE RAYAS,DESCONOCIDO,2,piezas
101,LIBRO DE ACTAS 192 HOJAS NTERL B ,DESCONOCIDO,-4,piezas
102,MARCADOR CON TINTA PERMANENTE PUNTO FINO COLOR AZUL MC NEXTEP ,DESCONOCIDO,10,piezas
103,MARCADOR PERMANENTE  METALICO P/FINO COLOR DORADO MC SHARPIE,DESCONOCIDO,7,piezas
104,MARCADOR PERMANENTE  METALICO P/FINO COLOR PLATEADO MC SHARPIE,DESCONOCIDO,5,piezas
105,MARCADOR PERMANENTE PUNTO FINO C/AZUL MC SHARPIE ,DESCONOCIDO,8,piezas
106,MARCADOR PERMANENTE PUNTO FINO C/NEGRO MC SHARPIE ,DESCONOCIDO,1,piezas
107,MARCADOR PERMANENTE PUNTO FINO C/ROJO MC SHARPIE ,DESCONOCIDO,0,piezas
108,MARCADOR PUNTO FINO C/AZUL MAPED,DESCONOCIDO,1,piezas
109,MARCATEXTOS C/AMARILLO DIXON,DESCONOCIDO,-1,piezas
110,MARCATEXTOS C/NARANJA DIXON,DESCONOCIDO,6,piezas
111,MARCATEXTOS C/VERDE  DIXON,DESCONOCIDO,8,piezas
112,MARCATEXTOS C/AZUL DIXON,DESCONOCIDO,12,piezas
113,PALITOS JUMBO DE MADERA,DESCONOCIDO,100,piezas
114,PAPEL BLANCO T/CARTA 37 KG. 93% DE BLANCURA MC. SCRIBE ECOLOGICO VERDE,DESCONOCIDO,8,piezas
115,PAPEL BOND BLANCO T/OFICIO  75KG. CONT. 500 HOJAS MC. SCRIBE,DESCONOCIDO,13,piezas
116,PAPEL BOND INACOPIA T/CARTA ,DESCONOCIDO,0,piezas
117,PAPEL VEGETAL 61X91 /110GR/62KG GRUESO PLIEGO CANSON ALBANENE,DESCONOCIDO,0,piezas
118,PAPEL BOND BLANCO SINMARCA ,DESCONOCIDO,3,piezas
119,PAPEL KRAFT COLOR CARTON SIN MARCA ,DESCONOCIDO,1,piezas
120,PAQUETE ACETATO TRANSPARENTE TAMAÑO CARTA CONT. 25 HOJAS MC KRONALINE,DESCONOCIDO,400,piezas
121,PAQUETE CARD PLAYERS CONT. 50 PIEZAS MC K&M,DESCONOCIDO,150,piezas
122,PAQUETE CON 100 TARJETAS BLANCAS 5'' X 8'' 1/2 CARTA MC. RAYTER,DESCONOCIDO,36,piezas
123,PAQUETE DE ETIQUETAS ADHERIBLES BLANCAS 20 X 105 MM MC TRANSFER 2023,DESCONOCIDO,1,piezas
124,PAQUETE DE ETIQUETAS ADHERIBLES BLANCAS 47 X 102 MM MC TRANSFER 2024,DESCONOCIDO,1,piezas
125,PAQUETE DE PAPEL ARCOIRIS T/C C/100 HJS COL. INTESOS MC EUROCOLORS,DESCONOCIDO,1,piezas
126,PAQUETE DE PAPEL ARCOIRIS T/C C/100 HJS. COLOR PASTEL MC. EUROCOLOR,DESCONOCIDO,0,piezas
127,PAQUETE DE PAPEL DE CHINA COLOR VERDE MC PARISINA ,DESCONOCIDO,1,piezas
128,PAQUETE DE PAPEL DE CHINA COLOR MORADO MC PARISINA,DESCONOCIDO,1,piezas
129,PAQUETE DE MOÑO AUTOMÁTICO DIVERSOS COLORES. MC CELOMAGICIO 100 PZAS,DESCONOCIDO,2,piezas
130,PASTAS PLASTICAS T/CARTA  LISA MC. ZEBRA COLOR NEGRO,DESCONOCIDO,228,piezas
131,PASTAS PLASTICAS T/CARTA LISA MC. ZEBRA TRANSPARENTE,DESCONOCIDO,300,piezas
132,PEGAMENTO INSTANTANEO DE 2 GRS. KOLA-LOKA,DESCONOCIDO,8,piezas
133,PEGAMENTO INSTANTANEO DE 3.5 GRS. GOTERITO MC KOLA-LOKA,DESCONOCIDO,7,piezas
134,PEGAMENTO INSTANTANEO DE 5 GRS. EN BROCHA KOLA-LOKA,DESCONOCIDO,5,piezas
135,PEGAMENTO VINVILICO BLANCO. ALFA ,DESCONOCIDO,3,piezas
136,PERFORADORA 2 ORIFICIOS ESSENTIALS METALICA 20/25 HJS. MOD. 402411 MC. MAPED,DESCONOCIDO,3,piezas
137,PLASTILOKA PLASTILINA EPOXICA MC KOLALOKA,DESCONOCIDO,1,piezas
138,PÓLIZA CHEQUE B-1013 TAMAÑO CARTA CONT.50 HOJAS MC PRINTAFORM,DESCONOCIDO,25,piezas
139,PÓLIZA DE DIARIO B-1002 TAMAÑO CARTA CONT.50 HOJAS MC PRINTAFORM,DESCONOCIDO,0,piezas
140,PÓLIZA DE EGRESOS B-1005 TAMAÑO CARTA CONT.50 HOJAS MC PRINTAFORM ,DESCONOCIDO,1,piezas
141,PÓLIZA DE INGRESOS B-1004 TAMAÑO CARTA CONT. 50 HOJAS MC PRINTAFORM ,DESCONOCIDO,5,piezas
142,PROTECTOR DE HOJAS T/CARTA (MEDIO) MC. WILSON JONES,DESCONOCIDO,134,piezas
143,PROTECTOR DE HOJAS T/OFICIO(360) MC. KINERA,DESCONOCIDO,0,piezas
144,PUNTILLAS HB 0.5 MC ZEBRA ,DESCONOCIDO,50,piezas
145,PUNTILLAS HB 0.7 MC ZEBRA ,DESCONOCIDO,46,piezas
146,REPUESTOS PARA CUTER SIN MARCA,DESCONOCIDO,7,piezas
147,RECOPILADOR TAMAÑO ESQUELA KYMA,DESCONOCIDO,6,piezas
148,RECOPILADOR TAMAÑO MEMORANDUM  MC LEFORT ,DESCONOCIDO,8,piezas
149,REGISTRADOR TAMAÑO CARTA (REGCAR) MC. PRINTAFORM,DESCONOCIDO,36,piezas
150,REGISTRADOR TAMAÑO OFICIO MC TRINTAFORM,DESCONOCIDO,9,piezas
151,REGLA SECRETARIAL DE ALUMINIO 30 CMS. MOD. 3001 MC. ARLY,DESCONOCIDO,10,piezas
152,ROLLO DE PLASTICO CONTAC AUTOADERIBLE TRANSP. C/20 MTS. MOD. 7020 MC. BARRILITO,DESCONOCIDO,3,piezas
153,SACAPUNTA CHICO DE METAL UNA ENTRADA MOD. 5066 MC. MAPED,DESCONOCIDO,-3,piezas
154,SACAPUNTA CHICO DE  PLASTICO UNA ENTRADA,DESCONOCIDO,1,piezas
155,SEPARADOR DE HOJAS T/CARTA 26 PZAS DE LA A A LA Z. MC WILSON JONES,DESCONOCIDO,1,piezas
156,SOBRE DE PLASTICO T/OFICIO HORIZ. C/HILO PA-SOHOF-SUR MC. PASCUA ,DESCONOCIDO,0,piezas
157,SOBRE AMARILLO PARA NOMINA COIN 5-60 KGS MC. NASSA,DESCONOCIDO,50,piezas
158,SOBRE BOLSA AMARILLO T/CARTA 2330/60 KGS MC. NASSA,DESCONOCIDO,125,piezas
159,SOBRE BOLSA AMARILLO T/OFICIO 2434/60 KGS MC. NASSA,DESCONOCIDO,50,piezas
160,SOBRE D/PLASTICO T/O HORIZ. C/HILO MOD. 120FCHN MC. BARRILITO,DESCONOCIDO,3,piezas
161,SOBRE MEDIA CARTA 16.5 X 25CM MC NASSA,DESCONOCIDO,0,piezas
162,SOBRE PARA CARTA 12.5X22CM ,DESCONOCIDO,31,piezas
163,SOBRE PARA CARTA 24X10CM ,DESCONOCIDO,70,piezas
164,SOBRE TAMAÑO OFICIO C/AMARILLO ,DESCONOCIDO,2,piezas
165,SOBRE TAMAÑO OFICIO C/BLANCO,DESCONOCIDO,68,piezas
166,SOBRES 7.7X11.4,DESCONOCIDO,0,piezas
167,SOBRES AMARILLOS DE 16.1X8.4CM ,DESCONOCIDO,0,piezas
168,SOBRE BOLSA CON BROCHE 15X22 MC SIGNATURE,DESCONOCIDO,42,piezas
169,SOBRE BOLSA GOMA T/CARTA 23X30.5 CM MC KYMA,DESCONOCIDO,0,piezas
170,SUJETA DOCUMENTOS 19 MM MC. ACCO,DESCONOCIDO,3,piezas
171,SUJETA DOCUMENTOS 25 MM MC. PASCUA,DESCONOCIDO,4,piezas
172,SUJETA DOCUMENTOS 32 MM MC. ACCO,DESCONOCIDO,5,piezas
173,SUJETA DOCUMENTOS 50 MM MC. ACCO,DESCONOCIDO,0,piezas
174,"SUJETA DOCUMENTOS GRANDE 50MM (2"")  MC ACCO",DESCONOCIDO,1,piezas
175,TARJETAS BLANCAS 3X5 PAQ C/100 PZAS RAMSA,DESCONOCIDO,8,piezas
176,TARJETA BLANCA 4X6 PAQ C/100 PZAS IRASA,DESCONOCIDO,1,piezas
177,TARJETA BLANCA 5X8 PAQ.C/100 PZAS. RAYTER,DESCONOCIDO,35,piezas
178,TIJERA ESCOLAR 5CM  MC PASCUA DIVERSOS COLRES ,DESCONOCIDO,9,piezas
179,TIJERA ADVANCED GREEN 17 CMS. MOD. 496110 MC. MAPED,DESCONOCIDO,1,piezas
180,TINTA PARA SELLOS C/NEGRO CONT.60ML MC PELIKAN ,DESCONOCIDO,6,piezas
181,TINTA PARA SELLOS C/ROJO CONT.60ML MC PELIKAN ,DESCONOCIDO,5,piezas
182,TINTA PROTECTORA DE CHEQUES 12 ML MC STAFFORD,DESCONOCIDO,0,piezas
183,TINTA PARA SELLOS  C/ROJO azor,DESCONOCIDO,0,piezas
184,ABRILLANTADOR DE MUEBLES,DESCONOCIDO,0,piezas
185,AROMATIZANTE WIESE,DESCONOCIDO,15,piezas
186,ALMOROL ,DESCONOCIDO,9,piezas
187,ACEITE PARA MOP,DESCONOCIDO,1,piezas
188,ACIDO MURIATICO SULTAN 900ML,DESCONOCIDO,1,piezas
189,ARAÑAS METALICAS ,DESCONOCIDO,3,piezas
190,BOLSA PARA BASURA 90X120,DESCONOCIDO,27,piezas
191,BOLSA TRANSPARENTE 40X60 ,DESCONOCIDO,5,piezas
192,BOLSA NEGRA PARA BASURA 90X70,DESCONOCIDO,10,piezas
193,BOLSA NEGRA PARA BASURA 60X100 ,DESCONOCIDO,1,piezas
194,BOLSA NEGRA PARA BASURA 80X100 ,DESCONOCIDO,4,piezas
195,BOLSA  PARA BASURA TRANPARENTE 90X120,DESCONOCIDO,0,piezas
196,BOMBA PARA WC CON PALO ,DESCONOCIDO,1,piezas
197,BOTE ATOMIZADOR BLANCO CHICO ,DESCONOCIDO,1,piezas
198,BOTE ATOMIZADOR CONT. 1 L MC AKSI,DESCONOCIDO,0,piezas
199,BOTE BLANCO CON TAPA ROJA MC LACTOVIT,DESCONOCIDO,5,piezas
200,BOTE PARA BASURA NEGRO MC SABLON ,DESCONOCIDO,36,piezas
201,BOTE PARA BASURA NEGRO SIN MARCA ,DESCONOCIDO,27,piezas
202,CEPILLO PARA WC ,DESCONOCIDO,4,piezas
203,CEPILLO ,DESCONOCIDO,6,piezas
204,CEPILLO CHICO DE PLASTICO MC. KINTEK,DESCONOCIDO,1,piezas
205,CESTO BALACIN GRANDE ,DESCONOCIDO,4,piezas
206,CLORO 3% ,DESCONOCIDO,5,piezas
207,CUBETA DE PLASTICO,DESCONOCIDO,3,piezas
208,CUBETA DE PLASTICO CON EXPRIMIDOR MC LA BONITA,DESCONOCIDO,8,piezas
209,DESENGRASANTE BRASSO,DESCONOCIDO,1,piezas
210,DETEGERTE 10KG MC ROMA,DESCONOCIDO,1,piezas
211,DETERGENTE 1 KG MC ROMA ,DESCONOCIDO,17,piezas
212,DISPENSADOR TRANSPARENTE DE 1 L ,DESCONOCIDO,0,piezas
213,DISPENSADOR TRANSPARENTE DE 600 ML,DESCONOCIDO,2,piezas
214,ESCOBA DE VINILO ABANICO ,DESCONOCIDO,25,piezas
215,FRANELA ,DESCONOCIDO,3,piezas
216,FERTILIZANTE TRIPLE 17 CONT. 1 KG MC ROYAL GARDEN,DESCONOCIDO,3,piezas
217,FIBRA CON ESPONJA DE 7 X 13 CM,DESCONOCIDO,29,piezas
218,FIBRA BLANCAS 9X15 CM,DESCONOCIDO,41,piezas
219,FIBRA VERDE CHICO ,DESCONOCIDO,0,piezas
220,FIBRA VERDE 3M MC. SCOTCH BRITE,DESCONOCIDO,8,piezas
221,GEL ANTIBACTERIAL ,DESCONOCIDO,12,piezas
222,GUANTES DE LÁTEX MC VITEX,DESCONOCIDO,23,piezas
223,H24 DOMESTICO 460 ML,DESCONOCIDO,0,piezas
224,HERBICIDA Y DESECANTE AGRICOLA FAENA CONT. 1L,DESCONOCIDO,9,piezas
225,INSECTICIDA EN POLVO  CONT. 1 KG MC. FOLEY,DESCONOCIDO,3,piezas
226,JABÓN LIQUIDO PARA TRASTES,DESCONOCIDO,17,piezas
227,JALADOR PARA CRISTAL,DESCONOCIDO,32,piezas
228,JALADOR,DESCONOCIDO,12,piezas
229,JERGA 3 COLORES ,DESCONOCIDO,8,piezas
230,JICARAS,DESCONOCIDO,37,piezas
231,LUSTRADOR DE MUEBLES,DESCONOCIDO,6,piezas
232,LIQUIDO PARA MOP,DESCONOCIDO,10,piezas
233,LIMPIADOR CON ATOMIZADOR,DESCONOCIDO,8,piezas
234,LIMPIADOR DE PISO MULTIUSOS ,DESCONOCIDO,16,piezas
235,LIMPIADOR PARA VIDRIOS ,DESCONOCIDO,2,piezas
236,MECHUDO DE PABILO,DESCONOCIDO,1,piezas
237,PAPEL HIGIENICO,DESCONOCIDO,0,piezas
238,PALOS PARA ESCOBA,DESCONOCIDO,17,piezas
239,PALOS PARA MOP CON ESTRUCTURA ,DESCONOCIDO,1,piezas
240,PALOS PARA MOP DE ALUMINIO ,DESCONOCIDO,91,piezas
241,PALOS PARA MOP DE MADERA,DESCONOCIDO,25,piezas
242,PAÑUELOS DESECHABLES DE MANZANILLA TRIPLE HOJA CONT. 100 PAÑUELOS MC KLEENEX ,DESCONOCIDO,18,piezas
243,PASTILLA SANITARIA MC FLASH,DESCONOCIDO,0,piezas
244,RAID CASA Y JARDIN 400 ML,DESCONOCIDO,47,piezas
245,RECOGEDOR DE ALUMINIO ,DESCONOCIDO,11,piezas
246,RECOGEDOR DE PLASTICO ,DESCONOCIDO,6,piezas
247,REPUESTO DE BOMBA PARA WC ,DESCONOCIDO,2,piezas
248,REPUESTO PARA MOP GRANDE,DESCONOCIDO,12,piezas
249,REPUESTO PARA MOP MEDIANO ,DESCONOCIDO,52,piezas
250,REPUESTO PARA MOPS GRANDE,DESCONOCIDO,15,piezas
251,SANITIZANTE ,DESCONOCIDO,31,piezas
252,SANITIZANTE PARA PISOS ,DESCONOCIDO,20,piezas
253,SARRIZIDA ,DESCONOCIDO,11,piezas
254,"SEÑAL DE PRECACUCIÓN ""PISO MOJADO"" ",DESCONOCIDO,17,piezas
255,SHAMPOO LIQUIDO PARA MANOS ,DESCONOCIDO,14,piezas
256,TOALLA DE MICROFIBRA SIN MARCA,DESCONOCIDO,15,piezas
257,TOALLAS INTERDOBLADAS PAQUETE CON 100 PIEZAS C/U MC SANITAS ,DESCONOCIDO,26,piezas
258,TOALLITAS HUMEDAS ANTIBACTERIAL MC. ESCUDO (PAQ C/50 PIEZAS),DESCONOCIDO,4,piezas
259,TAPETES DE ENTRADA,DESCONOCIDO,0,piezas
260,TRAPEADOR MAGITEL,DESCONOCIDO,0,piezas
261,AROMATIZANTE A GRANEL,DESCONOCIDO,6,piezas
262,ACEITE PARA TRANSMISIÓN MANUAL 946 ML MARCA AKRON,DESCONOCIDO,6,piezas
263,ACEITE LUBRICANTE PARA DIFERENCIALES 946 ML  MC LTH,DESCONOCIDO,12,piezas
264,ACEITE PARA TRANSMISIÓN AUTOMATICA  946 ML MC LTH ,DESCONOCIDO,24,piezas
265,ACEITE PARA TRANSMISIÓN AUTOMATICA  946 ML ,DESCONOCIDO,5,piezas
266,ACEITE PARA GASOLINA SAE 20W-50 CONT. 946ML MC LTH ,DESCONOCIDO,15,piezas
267,ACEITE MULTIGRADO PARA MOTOR A DIESEL 946 ML MC GONHER ,DESCONOCIDO,3,piezas
268,ACEITE MULTIGRADO 15 - 40 DIESEL/GASOLINA 946 ML MC MERCEDES-BENZ,DESCONOCIDO,11,piezas
269,AGUA PARA BATERÍA CONT.460ML  MC AKRON ,DESCONOCIDO,19,piezas
270,ANTICONGELANTE REFIGERANTE VERDE CONT. 3.79L MC GONHER,DESCONOCIDO,0,piezas
271,FLUIDO PARA DIRECCIÓN HIDRÁULICA 350 ML MC BARDAHL,DESCONOCIDO,5,piezas
272,FLUIDO ESPECIAL PARA BATERIA 950 ML MC ROSHFRANS ,DESCONOCIDO,3,piezas
273,FILTRO DE ACEITE EXTRA GUARD PH3682 MC FRAM,DESCONOCIDO,22,piezas
274,INDUSTRIALES LÁTEX NATURAL CLASE I TIPO F MC VITEX,DESCONOCIDO,2,piezas
275,LIQUIDO FRENOS DOT3 CONT. 900ML  MC BARDAHL,DESCONOCIDO,13,piezas
